period,Clean 80%,Coal Ret. 45y,Coal Ret. 55y,Existing Tx,Planned Tx,Reference,Static Costs
2020,37.39331909543061,37.41266245276896,37.2376501920694,37.47680803734455,37.53801878350549,37.41715685200615,36.90615261255258
2025,40.03616495420721,40.97603913857271,40.11430835984138,40.067425628936824,40.55440899228289,40.0129370871891,38.469767296321415
2030,42.731947034529355,45.03510260978722,43.3557046115576,43.01606017899618,43.25042166884527,42.86587332770783,40.495110998412166
2035,46.69028673496521,51.28744952886846,46.255846557306555,45.485546558029924,45.413214110795586,45.20954702931295,43.69683928262099
2040,51.36118715491392,54.5153902098583,50.63115494176867,49.29297474974225,49.19840705600164,48.56657563140724,48.302437519799874
