period,Clean 80%,Coal Ret. 45y,Coal Ret. 55y,Existing Tx,Planned Tx,Reference,Static Costs
2020,232.70922310553647,233.34039789331902,228.05617469145804,230.8450731847233,232.85127089914837,233.40951579428634,233.66103623794902
2025,243.28242334013547,219.42299074253955,243.79126166536614,248.62276622584668,254.90936036158323,250.839633652859,249.7799455610274
2030,218.42876087532676,178.67313740963579,237.90218194876996,273.7948991917299,277.0624430893077,273.3469557651894,285.65011484453095
2035,183.0674011817537,140.8691090212461,215.5343501453951,255.50861205152293,253.5403489145325,255.4784035455351,327.36595064814804
2040,121.20254893225353,124.71877503303634,190.12000971539828,249.19805744593813,249.29145817609583,244.0778021462286,360.1755965346184
