load_zone,Wind,SolarPV,SolarCSP,Battery,Scenario
Malawi,0.7844447588307001,0.3705901971121961,,0.12006527781535488,Coal ret. 55y
Mozambique,0.0,0.0,,0.0,Coal ret. 55y
Namibia,1.3783413179324862,0.0,,0.0,Coal ret. 55y
SouthAfrica,21.314157659802813,55.454013234772674,0.0,10.0,Coal ret. 55y
Tanzania,8.850918801308541,3.997911007074196,,0.3918929510840754,Coal ret. 55y
Zambia,2.129584193625692,6.354897740044055,,0.0,Coal ret. 55y
Zimbabwe,0.0,2.0095669624376877,,0.0,Coal ret. 55y
Angola,0.0,3.56050405227192,,0.0,Coal ret. 45y
Botswana,0.8915746150830755,0.9590105907366283,0.0,0.41910392320214956,Coal ret. 45y
DRC,1.7597358203210385,7.321659362721843,,3.997673945563989,Coal ret. 45y
Eswatini,0.0,0.0,,6.9510312681588,Coal ret. 45y
Lesotho,6.2679455819132635,0.0,,10.0,Coal ret. 45y
Malawi,0.7575882374784781,0.284103761939827,,0.07979665950056779,Coal ret. 45y
Mozambique,0.0,0.0,,0.0,Coal ret. 45y
Namibia,2.096609369682876,0.0,,0.0,Coal ret. 45y
SouthAfrica,28.35970688542054,63.53721926832003,0.0,10.208872329973374,Coal ret. 45y
Tanzania,8.86496990511898,3.8880455224301036,,0.3116186939262183,Coal ret. 45y
Zambia,2.157800731047437,6.062092847574304,,0.0,Coal ret. 45y
Zimbabwe,0.0,1.4998198688400561,,0.0,Coal ret. 45y
