period,Battery,Bioenergy,Coal_IGCC,Coal_Sub,Coal_Sup,Diesel,Gas_CCGT,Gas_ICE,Gas_OCGT,Geothermal,Hydro,Nuclear,Oil,PStorage,SolarCSP,SolarPV,Trans_loss,Wind,curt_hydro,curt_vre,Coal,Gas,Other,Solar,Curtailment,scs
2020,0.0,0.01919715749999997,0.0,229.09832514276306,0.0,0.18635400000000002,13.058711320697602,0.0,3.6396596082344295,0.0,68.59333800488014,15.77879999999998,0.015743756204562205,-0.05097729724283923,0.8400171000000004,3.9932312891249993,-1.0422355726213757,7.478728683599999,6.29768237558892e-15,1.665481086376985e-16,229.09832514276306,16.698370928932032,0.2212949137045622,4.833248389125,6.4642304842266186e-15,Static Costs
2025,-6.431832844100426e-17,0.0,0.0,225.82462740748144,0.0,0.15430130384408255,46.70407074920851,19.72350000000004,0.2611833614459333,0.0,83.17354641887574,15.77879999999998,0.0,-0.06559465998879593,0.8400170999999999,3.993231289125,-2.0145316559938675,7.478728683620846,9.225534114420948e-15,-2.0842875227063584e-11,225.82462740748144,66.68875411065449,0.15430130384408255,4.833248389125,-2.0833649692949162e-11,Static Costs
2030,0.0,0.07764749999999715,0.0,232.87025589379235,0.0,0.07835399999999988,110.43208113884917,25.69564193061356,1.2412557028150857,0.0,85.08066882822143,15.77879999999999,0.0,-0.9025100922610927,0.8400171,3.9932312891249984,-5.748573862991724,8.43592107424675,1.6319591011892963e-14,-2.0842830100050346e-11,232.87025589379235,137.3689787722778,0.15600149999999702,4.833248389124998,-2.0826510509038453e-11,Static Costs
2035,0.0,0.2815408812196453,0.0,237.04354266752557,0.0,0.07835399999999988,165.6393756644871,39.8221123987116,15.860779927455548,1.7531999999999996,91.59512408562817,15.778799999999968,0.0,-3.6191504810621717,0.8400171000000003,6.534585514218678,-9.432651018191763,14.416473614027694,7.882071884068862e-15,-2.0843026320383767e-11,237.04354266752557,221.32226799065424,2.1130948812196446,7.374602614218679,-2.0835144248499697e-11,Static Costs
2040,-1.4101616717724315,0.32729759999996966,0.0,209.80301992863966,0.0,0.0,244.53796831792062,41.971855873159036,58.20281353656342,1.7531999999999979,105.59238186284112,15.778799999999984,0.008760940808228,-4.937765985981574,0.8400170999999999,19.079449108531314,-15.01821910216827,35.646947193821156,1.3813174604138115e-14,-2.08428216511969e-11,209.80301992863966,344.7126377276431,2.0892585408081956,19.919466208531315,-2.082900847659276e-11,Static Costs
2020,0.0,0.1295176499999997,0.0,228.01465064789016,0.0,0.1956883031167186,8.846412695665506,0.0,3.281532146200691,1.7531999999999996,70.3081003315892,15.77879999999998,0.04022485195606282,-0.05658226670368116,0.8400171000000004,4.883203366389658,-1.0692095659790088,8.658997444666834,0.006943085291291055,0.06562992503089812,228.01465064789016,12.127944841866197,2.1186308050727805,5.723220466389659,0.07257301032218919,Existing Tx
2025,0.0,0.05926645592529626,0.0,232.92550660460105,0.0,0.10860345581219924,26.39348151911205,19.72350000000004,0.22848647181919304,1.7531999999999983,90.31806195960743,15.77879999999998,0.07262931026333445,-0.1531035307162074,0.8400171,5.406713234511838,-1.047344781316394,9.376295328505057,0.0032327193570756076,0.04695265987175209,232.92550660460105,46.34546799093128,1.9936992220008283,6.246730334511838,0.050185379228827695,Existing Tx
2030,0.0,0.16844396354337612,0.0,245.38519716457012,0.0,0.05780612508102175,55.6562442867783,19.723500000000055,1.7103492213702078,1.753199999999997,107.5363877727118,15.77879999999999,0.031551297479425984,-1.1035167047654595,0.8400171,14.931508682269348,-3.2266067322782384,18.47424880492664,0.3239645840675412,0.4533737179218671,245.38519716457012,77.09009350814857,2.0110013861038207,15.771525782269348,0.7773383019894082,Existing Tx
2035,-8.173532105239142,0.19648268779566902,0.0,218.37837560459405,0.0,0.04035029691335132,62.06998875334567,32.28411163353378,2.5491219331088306,1.7531999999999996,110.27649651331754,15.778799999999968,0.19698731041495157,-2.46959045454638,0.8400171000000002,97.97431979883683,-3.2109201696583196,42.080037162258854,4.957747250259111e-05,0.26676799201251183,218.37837560459405,96.90322231998829,2.1870202951239714,98.81433689883683,0.26681756948501445,Existing Tx
2040,-26.061627140382125,0.2708855156249698,0.0,199.56700743590673,0.0,0.0,79.50973793916724,31.19244711321003,11.040752686678436,1.7531999999999979,117.4446541716811,15.778799999999984,0.3627281753432472,-4.190800572032157,0.8400170999999996,157.75917428897026,-4.394506479488474,111.01734411161087,6.6502994222617014e-15,1.0528015153600663,199.56700743590673,121.7429377390557,2.3868136909682147,158.59919138897027,1.052801515360073,Existing Tx
2020,0.0,0.12903868736344784,0.0,229.6304925031411,0.0,0.19555585305280768,12.033051484313006,0.0,1.8493682259804913,0.0,70.30484209824724,15.77879999999998,0.06825896929218443,-0.15905701633582223,0.8400171000000003,3.996039257339091,-0.9109842927132589,7.769773388994335,0.001767009772297495,0.10976894423611444,229.6304925031411,13.882419710293497,0.3928535097084399,4.836056357339091,0.11153595400841193,Planned Tx
2025,0.0,0.0,0.0,235.8642315152398,0.0,0.0,35.71688727552076,19.72350000000004,0.0,0.0,83.58174292335246,15.77879999999998,0.0,-0.14221967553800957,0.8400171,3.9960392573390915,-1.445999143589379,7.879542333251303,4.436326861423371e-15,-2.084281512580628e-11,235.8642315152398,55.440387275520806,0.0,4.836056357339092,-2.0838378798944857e-11,Planned Tx
